name,ms_wis,ms_cov,u_wis,u_cov,c_wis,c_cov
sarima,0.21761395079280765,0.8881578947368421,,,0.1808798688849907,0.9226973684210527
cg_mamba_method_F,0.28981619032856426,0.8885906040268455,0.28981619032856426,0.8885906040268455,,
patchtst,0.36829860366571743,0.6983221476510068,,,0.365748864265905,0.8221476510067114
vanilla_mamba_MC,0.37145132616861487,0.3697986577181208,,,0.2676036886726502,0.9513422818791947
cg_mamba_MC@d0.1,0.37290392740579986,0.23624161073825506,,,0.26958769112377534,0.9379194630872483
epideep,0.3939222790961246,0.37651006711409396,,,0.29745781728767917,0.9228187919463087
persistence,0.4223230486151634,0.87751677852349,,,0.4227743892674722,0.87751677852349
dlinear,0.44106967176283324,0.28859060402684567,0.35277402283540127,0.8120805369127517,0.29684448611711944,0.8808724832214765
lstm_MC@d0.3,0.4662005937398176,0.3416107382550336,,,0.33869787342709434,0.8523489932885906
nbeats,0.48689761641667695,0.27181208053691275,0.4183710696299212,0.5570469798657718,0.37079907782686705,0.87248322147651
itransformer,0.5211508875997101,0.27013422818791943,,,0.437042232939774,0.8137583892617449
timesnet,0.596612509745549,0.22483221476510068,,,0.4817584399739403,0.860738255033557
