name,uq,h1,h2,h3,h4,avg,std,cov50,cov95
sarima,Kalman,0.10334536268610311,0.1897830812340897,0.261633102939317,0.31569425631172077,0.21761395079280765,0.0,0.35855263157894735,0.8881578947368421
cg_mamba_method_F,HMM_calibrated,0.1571851261608936,0.2635140735796371,0.34059350806857114,0.3979720535051553,0.28981619032856426,0.01838191208262248,0.7077181208053691,0.8885906040268455
patchtst,MC_Dropout,0.24192562051457012,0.3386661220253262,0.42541202466105943,0.46719064746191385,0.36829860366571743,0.05677205406880476,0.34832214765100666,0.6983221476510068
vanilla_mamba_MC@d0.1,MC_Dropout,0.18727412895144754,0.3221746638210793,0.4349211763578008,0.5414353355441318,0.37145132616861487,0.038707357649555296,0.13691275167785236,0.3697986577181208
cg_mamba_MC@d0.1,MC_Dropout,0.18179078918815458,0.32935953577743315,0.44752179936243275,0.5329435852951792,0.37290392740579986,0.02438780842733299,0.08087248322147651,0.23624161073825506
epideep,MC_Dropout,0.18869955330167043,0.33303421014949125,0.47348300409083954,0.5804723488424971,0.3939222790961246,0.06114837784639947,0.13355704697986576,0.37651006711409396
persistence,residual,0.19819522839716788,0.367022991886214,0.5010831472384606,0.6229908269388111,0.4223230486151634,0.0,0.5083892617449665,0.87751677852349
dlinear,ensemble_Gauss,0.15476833046453134,0.36026239148631656,0.540566727944279,0.7086812371562061,0.44106967176283324,0.0,0.1040268456375839,0.28859060402684567
lstm_MC@d0.3,MC_Dropout,0.23413338084901986,0.427440992356912,0.5523842449150664,0.650843756838272,0.4662005937398176,0.057967441454995,0.12315436241610737,0.3416107382550336
nbeats,ensemble_Gauss,0.427846033509632,0.461188146406637,0.5029928866140968,0.5555633991363421,0.48689761641667695,0.0,0.06711409395973154,0.27181208053691275
itransformer,MC_Dropout,0.3864654879492088,0.49223782906471064,0.5645636142709007,0.6413366191140202,0.5211508875997101,0.025035037586719038,0.08557046979865772,0.27013422818791943
timesnet,MC_Dropout,0.4989056500477175,0.5623558379182463,0.6315914778730283,0.6935970731432042,0.596612509745549,0.05866320070764248,0.08691275167785237,0.22483221476510068
