baseline,seed,n_full,n_strict,dropout,tF_wis_h1,tF_cov95_h1,tS_wis_h1,tS_cov95_h1,tF_wis_h2,tF_cov95_h2,tS_wis_h2,tS_cov95_h2,tF_wis_h3,tF_cov95_h3,tS_wis_h3,tS_cov95_h3,tF_wis_h4,tF_cov95_h4,tS_wis_h4,tS_cov95_h4,region
lstm,42,254,149,0.3,0.16817927520891773,0.6692913385826772,0.17754600036012075,0.7315436241610739,0.2644081065722399,0.5787401574803149,0.2776695820301345,0.6778523489932886,0.32524474884698706,0.5275590551181102,0.3460752971407307,0.6375838926174496,0.3917542210424326,0.5,0.4032794411677399,0.610738255033557,hhs1
lstm,123,254,149,0.3,0.14710432059805267,0.6968503937007874,0.13178593801606805,0.8187919463087249,0.2367823252940945,0.5748031496062992,0.22184058743417867,0.7046979865771812,0.31250246838923806,0.46062992125984253,0.3038096366719668,0.5973154362416108,0.3809106782777633,0.43700787401574803,0.3620780634695704,0.5503355704697986,hhs1
lstm,456,254,149,0.3,0.17665773800967371,0.6417322834645669,0.16226070735922077,0.7785234899328859,0.26781102637626747,0.515748031496063,0.25913540959027753,0.6644295302013423,0.3315212221237047,0.468503937007874,0.3358482454120157,0.610738255033557,0.40005906993826135,0.4094488188976378,0.40637405629891293,0.5167785234899329,hhs1
lstm,789,254,149,0.3,0.19753213106524817,0.6417322834645669,0.2119048641068545,0.7181208053691275,0.3021104390845238,0.5078740157480315,0.3178433219682798,0.6510067114093959,0.3470151849790454,0.452755905511811,0.3790468593331791,0.5570469798657718,0.41200168247287794,0.41338582677165353,0.4420367739059364,0.5167785234899329,hhs1
lstm,1024,254,149,0.3,0.21610717391159712,0.5826771653543307,0.21190631779526564,0.6912751677852349,0.3285291756792086,0.47244094488188976,0.3415532490905882,0.5637583892617449,0.41410602400234325,0.4015748031496063,0.4372814773822756,0.4899328859060403,0.48735241595389134,0.35826771653543305,0.5133059204398699,0.42953020134228187,hhs1
vanilla_mamba,42,254,149,0.1,0.19403884420234513,0.8503937007874016,0.22244683573614382,0.8523489932885906,0.2837335633713776,0.7637795275590551,0.3100207230522642,0.8053691275167785,0.34021761508091636,0.7795275590551181,0.3805191814726388,0.7919463087248322,0.41209530542802625,0.7165354330708661,0.40830842975036796,0.7919463087248322,hhs1
vanilla_mamba,123,254,149,0.1,0.23428173541961486,0.49606299212598426,0.29170885428434074,0.40268456375838924,0.29326185669353344,0.6496062992125984,0.33749537607089125,0.6577181208053692,0.36828296263927635,0.5393700787401575,0.3893692857926255,0.6040268456375839,0.4633072038700384,0.38188976377952755,0.4337522560620677,0.4966442953020134,hhs1
vanilla_mamba,456,254,149,0.1,0.21639180123802812,0.8346456692913385,0.27388581935978334,0.7986577181208053,0.2941539545455684,0.7637795275590551,0.35422325866208293,0.738255033557047,0.3580503193322265,0.7519685039370079,0.40459569543999024,0.7583892617449665,0.43760004083999976,0.594488188976378,0.4996626198553972,0.5570469798657718,hhs1
vanilla_mamba,789,254,149,0.1,0.20383810155366594,0.7519685039370079,0.19099651490942812,0.8926174496644296,0.28465496402056567,0.7519685039370079,0.28920532402715354,0.8523489932885906,0.3663522868847059,0.6653543307086615,0.36561716438583364,0.7919463087248322,0.3887134943454335,0.7480314960629921,0.42441518389786476,0.7919463087248322,hhs1
vanilla_mamba,1024,254,149,0.1,0.1892950991161476,0.889763779527559,0.24104066164827676,0.8456375838926175,0.29885395236683837,0.7519685039370079,0.35691730496797824,0.738255033557047,0.356345308106297,0.7204724409448819,0.40687281815171555,0.7248322147651006,0.4278346971810395,0.6614173228346457,0.4563960234944765,0.7046979865771812,hhs1
