baseline,seed,n_full,n_strict,dropout,tF_wis_h1,tF_cov95_h1,tS_wis_h1,tS_cov95_h1,tF_wis_h2,tF_cov95_h2,tS_wis_h2,tS_cov95_h2,tF_wis_h3,tF_cov95_h3,tS_wis_h3,tS_cov95_h3,tF_wis_h4,tF_cov95_h4,tS_wis_h4,tS_cov95_h4,region
epideep,42,254,149,0.1,0.1676748157701991,0.6181102362204725,0.1531051334716121,0.697986577181208,0.28267537571426044,0.4645669291338583,0.269237377047017,0.5906040268456376,0.36667119831836453,0.421259842519685,0.3526197628118152,0.5369127516778524,0.44656586026663814,0.40551181102362205,0.4233142182056154,0.4966442953020134,hhs1
epideep,123,254,149,0.1,0.19692655080492594,0.562992125984252,0.19194425555179237,0.610738255033557,0.2976037641557795,0.5078740157480315,0.3235409148396158,0.5302013422818792,0.38543240829526826,0.452755905511811,0.4367688841425123,0.4697986577181208,0.4695240782395654,0.42913385826771655,0.5392130380951526,0.42953020134228187,hhs1
epideep,456,254,149,0.1,0.1935628920131373,0.5511811023622047,0.15873469376428362,0.6577181208053692,0.3024254883036594,0.421259842519685,0.2922683780178371,0.4966442953020134,0.4113566113036612,0.2559055118110236,0.4195724364743833,0.3221476510067114,0.4878485468903334,0.25196850393700787,0.5105520094781985,0.3422818791946309,hhs1
epideep,789,254,149,0.1,0.19099351626441766,0.6141732283464567,0.15047905293191385,0.7248322147651006,0.29094039083720885,0.484251968503937,0.27708171740474313,0.5771812080536913,0.36980802575138405,0.44881889763779526,0.3907567097142726,0.5436241610738255,0.44814196631501124,0.42913385826771655,0.4950650743894476,0.4899328859060403,hhs1
epideep,1024,254,149,0.1,0.18139834061198676,0.547244094488189,0.17268067706933968,0.610738255033557,0.29498518728916057,0.4763779527559055,0.30759387306779895,0.5637583892617449,0.3809886940231229,0.42913385826771655,0.4052724476164271,0.5302013422818792,0.4607027568562784,0.3858267716535433,0.48308187064873703,0.48322147651006714,hhs1
dlinear_ensemble_gauss,-1,254,149,,0.16502454765900854,0.452755905511811,0.18484347222304937,0.42953020134228187,0.33607552832454807,0.3464566929133858,0.36929413077592926,0.3691275167785235,0.48274149048195025,0.28346456692913385,0.5383835742254142,0.28187919463087246,0.6092279996555213,0.2440944881889764,0.6681209375745626,0.2550335570469799,hhs1
epideep,42,254,149,0.1,0.5196999607199229,0.33858267716535434,0.4890697128911181,0.40939597315436244,0.8126691733751139,0.14960629921259844,0.7864642001280189,0.16778523489932887,1.1413712120064314,0.11811023622047244,1.129143202172308,0.1342281879194631,1.417534773562592,0.08661417322834646,1.455268121144846,0.06711409395973154,hhs2
epideep,123,254,149,0.1,0.35888446147874054,0.4015748031496063,0.3579252139016495,0.4429530201342282,0.6204770496731463,0.1889763779527559,0.6702889966557734,0.15436241610738255,0.8655163230172823,0.1220472440944882,0.9565680420436977,0.12080536912751678,1.0602280460710765,0.14566929133858267,1.1912552710775386,0.15436241610738255,hhs2
epideep,456,254,149,0.1,0.3556701271285426,0.3858267716535433,0.34163178124614246,0.4429530201342282,0.6440852432628889,0.14173228346456693,0.6522336571203364,0.1610738255033557,0.9108493866452368,0.1220472440944882,0.9581290180564171,0.15436241610738255,1.108231963178182,0.1377952755905512,1.1888142857932127,0.15436241610738255,hhs2
epideep,789,254,149,0.1,0.395767634217358,0.3700787401574803,0.39334778229975303,0.44966442953020136,0.6617615901209729,0.1889763779527559,0.6935143406247828,0.19463087248322147,0.9398534711604656,0.14566929133858267,1.0525102140641192,0.11409395973154363,1.1719989970066254,0.11023622047244094,1.357615641913471,0.087248322147651,hhs2
epideep,1024,254,149,0.1,0.4632938776463934,0.23228346456692914,0.4468292661658661,0.28859060402684567,0.7262248141781512,0.11811023622047244,0.7440214941005578,0.12080536912751678,1.0181194393510729,0.1062992125984252,1.0681711680975396,0.10738255033557047,1.228075602282934,0.11023622047244094,1.3039436488954046,0.10067114093959731,hhs2
dlinear_ensemble_gauss,-1,254,149,,0.25600368928057354,0.421259842519685,0.24742666058810972,0.48322147651006714,0.5099278994395201,0.24015748031496062,0.4921740329427439,0.2751677852348993,0.7431139153076166,0.16929133858267717,0.7350287554988059,0.18791946308724833,0.9532455728127902,0.1377952755905512,0.9727823841327132,0.1342281879194631,hhs2
epideep,42,254,149,0.1,0.2681958929683729,0.421259842519685,0.22767509922033016,0.5302013422818792,0.42924553789828424,0.3464566929133858,0.3637304706951951,0.44966442953020136,0.5712963756349593,0.3031496062992126,0.4743388842953722,0.3691275167785235,0.6656779662793894,0.2952755905511811,0.5319161295188144,0.3624161073825503,hhs3
epideep,123,254,149,0.1,0.18812016747930163,0.4566929133858268,0.17701533656870616,0.5503355704697986,0.27564602098055635,0.4094488188976378,0.28323550844265555,0.5100671140939598,0.3425420091663657,0.39763779527559057,0.35493320889007884,0.44966442953020136,0.3882101268215932,0.38976377952755903,0.39757893995002785,0.4228187919463087,hhs3
epideep,456,254,149,0.1,0.16178192480342593,0.5708661417322834,0.14377485598841597,0.697986577181208,0.2589910769043251,0.48031496062992124,0.25231216501626114,0.5369127516778524,0.33510556406953973,0.3858267716535433,0.32021017358172277,0.40939597315436244,0.38302637153447633,0.36220472440944884,0.3617810977418394,0.37583892617449666,hhs3
epideep,789,254,149,0.1,0.19231254110288146,0.5236220472440944,0.1629933264174126,0.6577181208053692,0.2924808684857649,0.4448818897637795,0.2688877833449601,0.4966442953020134,0.3623855316218592,0.41338582677165353,0.3357517203405991,0.46308724832214765,0.42153009184049195,0.3700787401574803,0.4014469993717997,0.40268456375838924,hhs3
epideep,1024,254,149,0.1,0.23306835251193633,0.38188976377952755,0.21209510850878546,0.42953020134228187,0.3517546252873674,0.3188976377952756,0.33305274908026766,0.348993288590604,0.47204946633766304,0.2874015748031496,0.4258668252873567,0.3288590604026846,0.5567108594385146,0.24803149606299213,0.48045632579382624,0.28187919463087246,hhs3
dlinear_ensemble_gauss,-1,254,149,,0.16833452178381275,0.44881889763779526,0.1763275604715227,0.436241610738255,0.311241461063028,0.33070866141732286,0.3190900267237208,0.3422818791946309,0.4229111081652181,0.2755905511811024,0.42451904920341743,0.28859060402684567,0.5075298970475114,0.2992125984251969,0.5029248504792516,0.3288590604026846,hhs3
epideep,42,254,149,0.1,0.43089946625372266,0.32677165354330706,0.37442349938877406,0.38926174496644295,0.7003886404839619,0.1889763779527559,0.6276092026570743,0.21476510067114093,0.9515132804898031,0.1732283464566929,0.8465048772609718,0.174496644295302,1.1488753139778836,0.19291338582677164,1.0385908350605013,0.18120805369127516,hhs4
epideep,123,254,149,0.1,0.25659813024917316,0.4763779527559055,0.26879776987575177,0.5704697986577181,0.45872733258193016,0.32677165354330706,0.5094378135584867,0.348993288590604,0.6531281205096584,0.24015748031496062,0.7393351108828891,0.2080536912751678,0.8207878290146885,0.20866141732283464,0.945928491848288,0.15436241610738255,hhs4
epideep,456,254,149,0.1,0.2882570226548143,0.41338582677165353,0.30488562906783284,0.46308724832214765,0.5030426281023336,0.3188976377952756,0.5543046369450343,0.33557046979865773,0.6915983135284565,0.21653543307086615,0.7646315410676696,0.2080536912751678,0.8433551854455321,0.18503937007874016,0.9408871329869062,0.16778523489932887,hhs4
epideep,789,254,149,0.1,0.36057086925041754,0.3543307086614173,0.35108374287739835,0.42953020134228187,0.5925788970388031,0.2440944881889764,0.6092536218003904,0.28859060402684567,0.8188442346742405,0.1732283464566929,0.8828773115312251,0.174496644295302,1.0093814661405094,0.16141732283464566,1.1263507582564238,0.1342281879194631,hhs4
epideep,1024,254,149,0.1,0.3759016648966415,0.3228346456692913,0.3868142648278224,0.3087248322147651,0.6054454463448927,0.23228346456692914,0.6574963843603332,0.20134228187919462,0.8589545018896997,0.17716535433070865,0.9278533377458169,0.14093959731543623,1.0507870984324361,0.14566929133858267,1.133597442268595,0.12751677852348994,hhs4
dlinear_ensemble_gauss,-1,254,149,,0.2145287862802274,0.547244094488189,0.23118329151938266,0.6174496644295302,0.46607754493049786,0.2204724409448819,0.5185357301664585,0.20134228187919462,0.6614535738038608,0.16929133858267717,0.7338760157352122,0.1342281879194631,0.8250773197838027,0.14960629921259844,0.9263348679931028,0.10067114093959731,hhs4
